Customer ID,Workspaces,Start Date,Months Active,Tier,Active Users,Client Portal Uploads,Report Downloads,Dashboards Created,Reports Created,Templates Created,Budgets Pro,Dashboards Published,Connections,Billing Type,MRR
cus_KsSoWHf2Or6mGN,1,12/31/2021,51,Tier 3,119,0,491,645,605,91,20,13,48,year,525
cus_Lj1hkreqDR21Wv,1,5/20/2022,46,Tier 2,37,0,111,109,149,16,12,9,9,month,290
cus_NJC0RQMgITOdlz,33,2/6/2023,37,Tier 5,562,268,7513,1870,6955,753,1667,28,282,year,2887.5
cus_M7YUFiA8LaHl8i,1,7/25/2022,43,Tier 2,47,0,45,284,376,30,6,98,7,month,290
cus_PTjcTZzJvl4mdd,3,1/31/2024,26,Tier 3,55,0,212,737,585,229,39,25,46,month,928
cus_RtaSARqPmM3l8t,1,3/6/2025,12,Tier 2,46,0,125,68,163,10,42,6,10,month,290
cus_Mx4VrD7XgGLkj1,1,12/9/2022,39,Tier 2,34,0,103,159,216,5,60,5,8,month,217.5
cus_PQcMimCXFPPKsA,1,1/23/2024,26,Tier 3,102,0,281,234,470,121,74,5,49,month,950
cus_QS4H4ffvArCgWW,1,7/10/2024,20,Tier 2,27,0,100,204,126,13,31,60,10,month,203
cus_S0uHiknYWZSlku,2,3/26/2025,12,Tier 3,51,0,479,666,507,115,229,5,36,month,792
cus_NnWkt2tu2t4DZ4,1,4/28/2023,35,Tier 2,26,0,256,1532,2229,125,12,1,7,month,290
cus_O5VQr70vWwGm5g,1,6/15/2023,33,Tier 3,78,0,280,237,391,151,180,18,30,month,660
cus_Q2YOuKZgeFYnry,2,5/3/2024,22,Tier 3,69,0,175,406,389,54,8,13,44,month,814
cus_JyOTO6UvIbcfgG,1,8/3/2021,55,Tier 2,19,0,102,109,125,15,30,17,10,month,290
cus_Nn9OWmzvSqacaZ,1,4/27/2023,35,Tier 2,62,0,42,83,135,12,31,0,6,year,203
cus_NP7V8OivJ3N8Cf,1,2/22/2023,37,Tier 1,11,0,55,75,53,26,12,3,1,month,149
cus_K6iDAT3c1Kpu6i,2,8/30/2021,55,Tier 3,60,0,96,451,446,20,32,12,15,month,308
cus_N6UWp3qxURpKkE,1,1/3/2023,38,Tier 2,30,0,22,130,144,13,39,11,9,month,290
cus_SJf6468PXOmJnR,1,5/15/2025,10,Tier 2,21,0,224,81,530,11,8,7,6,month,290
cus_PT1Jr9e89XsZ3x,1,1/30/2024,26,Tier 1,30,0,85,31,65,3,32,2,1,month,149
cus_S5RD2PrcuWsZLP,1,4/7/2025,11,Tier 1,28,2,31,38,27,3,47,10,1,month,274
cus_S0fKl7rjkquIoc,2,3/25/2025,12,Tier 3,99,0,220,252,204,54,23,33,22,month,609
cus_NHrwNWjIPuDwaW,1,2/3/2023,37,Tier 3,33,0,184,453,532,129,44,27,39,month,858
cus_OiXJU99kNNuEYh,1,9/27/2023,30,Tier 3,63,0,320,187,408,88,25,3,25,month,550
cus_Rj0CWnvn11TEEL,1,2/6/2025,13,Tier 2,17,0,54,103,149,8,6,9,8,month,290
cus_Ph5ArgE3H85oGs,2,3/7/2024,24,Tier 3,59,0,157,191,406,44,26,24,21,month,550
cus_QID2y01SKZrVEe,1,6/14/2024,21,Tier 2,40,0,40,197,119,5,161,0,9,month,290
cus_RDB8d5YQX8GcHC,1,11/13/2024,16,Tier 2,19,0,71,108,183,20,4,26,8,month,290
cus_PYUDsr4VNUmgIN,1,2/13/2024,25,Tier 3,120,0,89,347,170,38,19,13,27,month,594
cus_M1PLRNfMO1lIJz,1,7/8/2022,44,Tier 3,29,0,642,300,642,135,25,6,25,month,550
cus_Qf2qo9iCEks2Q9,2,8/14/2024,19,Tier 3,86,0,431,233,263,25,25,23,26,month,550
cus_Q7hvF8oTuqAvq0,1,5/17/2024,22,Tier 2,22,5,37,115,71,17,13,14,10,month,290
cus_PYWKGAVJwbWEss,1,2/13/2024,25,Tier 2,35,0,15,89,65,8,28,9,5,month,290
cus_SOARiySNPqwc0q,2,5/27/2025,10,Tier 3,99,1,78,315,318,38,11,27,48,month,1363
cus_S8RCp8I944DUag,1,4/15/2025,11,Tier 1,21,0,23,39,15,7,6,3,1,month,149
cus_RXR5zLzTEav9JS,1,1/6/2025,14,Tier 3,38,0,38,1039,1272,59,54,175,13,month,950
cus_Qh0bUgmrbrkQYa,1,8/19/2024,19,Tier 3,54,0,362,412,494,28,189,0,19,month,950
cus_OEvAtpg1Cb30h2,2,7/10/2023,32,Tier 3,91,0,318,410,354,23,15,0,36,year,554.4
cus_SAwzv6sKLIClND,1,4/22/2025,11,Tier 1,14,0,47,85,16,9,4,10,1,month,149
cus_QcrASNjgvKViVy,1,8/8/2024,19,Tier 2,28,0,35,103,130,9,2,16,4,month,290
cus_KjyyI9Gb1ovram,1,12/8/2021,51,Tier 3,57,0,244,291,464,32,7,4,21,month,462
cus_NvMNW0pjoUT8jL,1,5/19/2023,34,Tier 2,59,0,182,46,215,47,4,0,9,month,290
cus_OSMUmM8vcX7bjy,1,8/15/2023,31,Tier 1,8,0,46,36,63,29,9,1,1,month,149
cus_RMuyQjvVIaLe2B,1,12/9/2024,15,Tier 2,18,0,251,72,113,20,6,13,6,year,203
cus_OK6ccJxgYhK1OL,1,7/24/2023,32,Tier 3,33,0,286,346,305,60,20,190,23,month,550
cus_JBkDTc4wTT7ybb,1,3/26/2021,60,Tier 3,56,0,419,155,401,49,162,3,21,year,426.3
cus_MoA17WMrcDPuui,1,12/15/2022,39,Tier 2,19,0,51,75,122,7,9,8,5,month,290
cus_OnTaL3hyz0gk0O,1,10/11/2023,29,Tier 2,24,0,165,49,450,79,348,1,10,month,290
cus_T7wSoBMx8AHqPm,1,9/26/2025,6,Tier 2,17,0,147,132,203,12,128,0,9,month,550
cus_PlWHB8BXcBkOli,1,3/19/2024,24,Tier 3,146,0,137,267,205,19,42,23,48,month,1056
